export-plot data (NetLogo 6.4.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SelfSim.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/14/2024 23:44:09:135 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w-shop-rent,w-firm-loc-rent,t-growth-upper,t-rent-afford,t-shop-closure,t-ob-increase,loss,w-growth-sizesq,max-cb-rent,w-income,w-gender,w-res-rent-acc,t-firm-move,t-purchase-afford,t-closure,t-school-decrease,t-cb-increase,w-shop-traffic,t-friend-break,w-res-purchase-price,w-move-acc,rent-prospect,w-res-purchase-acc,w-firm-loc-agg,social-network,t-flexible-purchase,w-res-rent-price,purchase-prospect,t-growth-lower,max-num-residences,t-ob-decrease,w-growth-age,w-move-agg,w-firm-loc-acc,w-move-rent,w-age,t-flexible-rent,w-growth-size,t-school-increase,min-cb-rent,t-cb-decrease,w-shop-agg,t-school-birth,w-move-space,w-growth-acc,w-education,,,,,,,,,,,,,,,,,,,,,,
0.25,-0.5,0.5,0.6,4,1.97,1.2,-0.05,0.84,0.24,0.1,0.7,2,0.6,1.2,0.5,9.8,0.19,0.5,0.6,-0.5,0,0.4,0.7,FALSE,7,0.3,0.007,-0.15,7,0.5,0.2,-0.09,0.5,0.5,0.41,1,0.2,0.7,-0.5,2,0.24,0.75,0.55,-0.05,0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Social Demographic Attributes""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,0,360000,TRUE,"""Male""",TRUE,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Male""",TRUE,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Female""",TRUE,0,1,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Students""",TRUE,0,1,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Employee""",TRUE,0,1,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Retiree""",TRUE,0,1,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Education-HighSchool or Below""",TRUE,0,1,65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Education-College""",TRUE,0,1,75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Education-Bachelor""",TRUE,0,1,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Education-Master or PHD""",TRUE,0,1,95,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""People""",TRUE,0,1,105,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Unemployee""",TRUE,0,1,115,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IndividualMonthlyIncome-0~5k""",TRUE,0,1,45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IndividualMonthlyIncome-5~10k""",TRUE,0,1,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IndividualMonthlyIncome-10~15k""",TRUE,0,1,125,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IndividualMonthlyIncome-15~20k""",TRUE,0,1,135,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IndividualMonthlyIncome-Above20k""",TRUE,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HouseholdIncome""",TRUE,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Male""",,,,"""Female""",,,,"""Students""",,,,"""Employee""",,,,"""Retiree""",,,,"""Education-HighSchool or Below""",,,,"""Education-College""",,,,"""Education-Bachelor""",,,,"""Education-Master or PHD""",,,,"""People""",,,,"""Unemployee""",,,,"""IndividualMonthlyIncome-0~5k""",,,,"""IndividualMonthlyIncome-5~10k""",,,,"""IndividualMonthlyIncome-10~15k""",,,,"""IndividualMonthlyIncome-15~20k""",,,,"""IndividualMonthlyIncome-Above20k""",,,,"""HouseholdIncome""",,,
x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?
1,10387,0,TRUE,1,7606,5,TRUE,1,2878,15,TRUE,1,11672,25,TRUE,1,2472,35,TRUE,1,9642,65,TRUE,1,2540,75,TRUE,1,5519,85,TRUE,1,292,95,TRUE,1,17993,105,TRUE,1,670,115,TRUE,1,944,45,TRUE,1,3546,55,TRUE,1,3206,125,TRUE,1,1984,135,TRUE,1,1992,0,TRUE,1,313459.3859,0,TRUE
2,10502,0,TRUE,2,7813,5,TRUE,2,3051,15,TRUE,2,11781,25,TRUE,2,2546,35,TRUE,2,9873,65,TRUE,2,2572,75,TRUE,2,5576,85,TRUE,2,294,95,TRUE,2,18315,105,TRUE,2,641,115,TRUE,2,885,45,TRUE,2,3333,55,TRUE,2,3216,125,TRUE,2,2106,135,TRUE,2,2241,0,TRUE,2,322183.8209,0,TRUE
3,10631,0,TRUE,3,8027,5,TRUE,3,2959,15,TRUE,3,12145,25,TRUE,3,2629,35,TRUE,3,10078,65,TRUE,3,2637,75,TRUE,3,5628,85,TRUE,3,315,95,TRUE,3,18658,105,TRUE,3,630,115,TRUE,3,716,45,TRUE,3,3162,55,TRUE,3,3161,125,TRUE,3,2334,135,TRUE,3,2772,0,TRUE,3,336163.5677,0,TRUE
4,10785,0,TRUE,4,8237,5,TRUE,4,2949,15,TRUE,4,12377,25,TRUE,4,2729,35,TRUE,4,10061,65,TRUE,4,2814,75,TRUE,4,5832,85,TRUE,4,315,95,TRUE,4,19022,105,TRUE,4,658,115,TRUE,4,899,45,TRUE,4,3474,55,TRUE,4,3273,125,TRUE,4,2269,135,TRUE,4,2462,0,TRUE,4,318973.4072,0,TRUE
5,10924,0,TRUE,5,8481,5,TRUE,5,3102,15,TRUE,5,12501,25,TRUE,5,2818,35,TRUE,5,10348,65,TRUE,5,2857,75,TRUE,5,5886,85,TRUE,5,314,95,TRUE,5,19405,105,TRUE,5,662,115,TRUE,5,817,45,TRUE,5,3411,55,TRUE,5,3371,125,TRUE,5,2379,135,TRUE,5,2523,0,TRUE,5,320158.9011,0,TRUE
6,11037,0,TRUE,6,8653,5,TRUE,6,3178,15,TRUE,6,12645,25,TRUE,6,2930,35,TRUE,6,10536,65,TRUE,6,2894,75,TRUE,6,5935,85,TRUE,6,325,95,TRUE,6,19690,105,TRUE,6,711,115,TRUE,6,874,45,TRUE,6,3372,55,TRUE,6,3440,125,TRUE,6,2389,135,TRUE,6,2570,0,TRUE,6,316870.9054,0,TRUE
7,11236,0,TRUE,7,8874,5,TRUE,7,2967,15,TRUE,7,13174,25,TRUE,7,3026,35,TRUE,7,10849,65,TRUE,7,2925,75,TRUE,7,5988,85,TRUE,7,348,95,TRUE,7,20110,105,TRUE,7,698,115,TRUE,7,888,45,TRUE,7,3715,55,TRUE,7,3482,125,TRUE,7,2399,135,TRUE,7,2690,0,TRUE,7,314174.8464,0,TRUE
8,11435,0,TRUE,8,9110,5,TRUE,8,3089,15,TRUE,8,13363,25,TRUE,8,3097,35,TRUE,8,11264,65,TRUE,8,2924,75,TRUE,8,6005,85,TRUE,8,352,95,TRUE,8,20545,105,TRUE,8,749,115,TRUE,8,934,45,TRUE,8,3640,55,TRUE,8,3500,125,TRUE,8,2549,135,TRUE,8,2740,0,TRUE,8,310885.5053,0,TRUE
9,11639,0,TRUE,9,9365,5,TRUE,9,3041,15,TRUE,9,13706,25,TRUE,9,3180,35,TRUE,9,11716,65,TRUE,9,2924,75,TRUE,9,5998,85,TRUE,9,366,95,TRUE,9,21004,105,TRUE,9,696,115,TRUE,9,876,45,TRUE,9,3724,55,TRUE,9,3687,125,TRUE,9,2503,135,TRUE,9,2916,0,TRUE,9,313033.6542,0,TRUE
